sig_date,code,name,tag,regime,layers,in_top5,in_wide,buy_date,buy,g20,g60,g120,maxgain,peak_off,peak_date,dd_off,maxdd,post_peak_dd,r10,end_ret,dip_first
2008-05-05,002050,三花智控,电池/家电,OSCILLATION,"all,none",True,False,2008-05-06,1.706,6.62,6.62,6.62,6.62,8,2008-05-15,115,-61.82,-64.19,-0.42,-60.16,False
2008-05-05,600276,恒瑞医药,创新药/医药,OSCILLATION,"all,none",True,False,2008-05-06,2.958,14.88,14.88,14.88,14.88,7,2008-05-14,119,-23.73,-33.61,4.38,-22.01,False
2008-05-05,601898,中煤能源,煤炭,OSCILLATION,"all,none",False,False,2008-05-06,12.599,11.41,11.41,11.41,11.41,13,2008-05-22,118,-69.13,-72.29,3.26,-66.59,False
2008-05-12,002050,三花智控,电池/家电,CRASH,"all,none",True,False,2008-05-13,1.602,13.5,13.5,13.5,13.5,3,2008-05-15,119,-59.8,-64.58,-11.33,-53.94,False
2008-05-12,002179,中航光电,军工,CRASH,"all,none",False,False,2008-05-13,1.697,5.76,5.76,5.76,5.76,12,2008-05-28,117,-64.77,-66.69,-7.23,-60.12,False
2008-05-12,600030,中信证券,证券,CRASH,"all,none",False,False,2008-05-13,17.374,6.04,6.04,6.04,6.04,4,2008-05-16,91,-56.2,-58.7,-11.72,-51.76,False
2008-05-12,600111,北方稀土,有色金属,CRASH,"all,none",False,False,2008-05-13,4.843,7.05,7.05,7.05,7.05,3,2008-05-15,118,-75.68,-77.28,-11.44,-75.03,False
2008-05-12,600276,恒瑞医药,创新药/医药,CRASH,"all,none",True,False,2008-05-13,3.158,7.61,7.61,7.61,7.61,2,2008-05-14,114,-28.56,-33.61,-5.74,-24.13,False
2008-05-12,600487,亨通光电,通信,CRASH,"all,none",False,False,2008-05-13,2.265,11.06,11.06,11.06,11.06,3,2008-05-15,113,-63.77,-67.38,3.04,-57.51,False
2008-05-12,600549,厦门钨业,电池/有色金属,CRASH,"all,none",True,False,2008-05-13,6.454,8.4,8.4,8.4,8.4,3,2008-05-15,28,-41.2,-45.75,-11.69,-39.41,False
2008-05-12,601898,中煤能源,煤炭,CRASH,"all,none",False,False,2008-05-13,12.329,13.84,13.84,13.84,13.84,8,2008-05-22,113,-68.46,-72.29,5.57,-65.49,False
2008-05-19,000657,中钨高新,有色金属,OSCILLATION,"all,none",False,False,2008-05-20,4.497,3.31,3.31,3.31,3.31,1,2008-05-20,82,-76.13,-76.9,-11.82,-62.89,False
